Wall time,Step,Value
1727130504.8342018,54,32.70195007324219
1727130504.9422884,63,31.65568733215332
1727130505.5701766,108,30.4587459564209
1727130505.886003,135,22.087587356567383
1727130505.994769,144,21.970928192138672
1727130506.35322,171,17.115798950195312
1727130506.4565382,180,14.429858207702637
1727130506.5638504,189,12.432085990905762
1727130506.998333,225,13.355185508728027
1727130508.3424625,333,11.354926109313965
1727130508.7676728,369,15.819010734558105
1727130508.9741743,387,16.101858139038086
1727130509.2201407,405,10.437677383422852
1727130509.3621118,414,7.958374977111816
1727130509.6168704,432,6.3369646072387695
1727130510.28894,486,5.966162204742432
1727130510.3951619,495,6.011013507843018
1727130510.5050445,504,5.885247230529785
1727130510.6227977,513,5.5285820960998535
1727130510.7281797,522,7.0411906242370605
1727130511.400434,576,10.298468589782715
1727130511.615092,594,5.522716999053955
1727130511.8327835,612,5.851505279541016
1727130511.9371088,621,6.54461669921875
1727130512.282905,648,5.480727195739746
1727130512.3848166,657,5.183631420135498
1727130512.4882522,666,5.176624298095703
1727130512.5943058,675,5.217080593109131
1727130513.1384764,720,9.141716003417969
1727130513.7925842,765,5.094758987426758
1727130514.110281,792,4.968075752258301
1727130514.2222698,801,5.159625053405762
1727130514.9073803,855,5.501773834228516
1727130515.8070872,927,7.512340068817139
1727130516.1534946,954,5.323685169219971
1727130516.2641664,963,5.01003360748291
1727130517.0756626,1026,4.789172172546387
1727130517.444281,1053,5.043607234954834
1727130517.6655886,1071,5.99293327331543
1727130518.479158,1134,5.02087926864624
1727130518.5862541,1143,4.631079196929932
1727130518.9310439,1170,5.27528190612793
1727130519.0491605,1179,5.73877477645874
1727130519.8420808,1242,4.555706977844238
1727130520.0913053,1260,5.154407501220703
1727130520.306702,1278,4.98798942565918
1727130520.4101398,1287,4.650211334228516
1727130520.5227394,1296,4.784491539001465
1727130521.3065965,1359,4.259158611297607
1727130521.9670339,1404,4.952629566192627
1727130522.19546,1422,4.361344814300537
1727130522.3071985,1431,4.252554416656494
1727130522.7497003,1467,5.4000244140625
1727130523.3483515,1512,5.125372886657715
1727130523.4575045,1521,5.112283229827881
1727130523.78729,1548,4.362786769866943
1727130524.4817867,1602,4.064632415771484
1727130524.5918028,1611,4.458322048187256
1727130524.8210924,1629,6.025885581970215
1727130525.1996524,1656,3.908661127090454
1727130525.4197555,1674,4.363272666931152
1727130525.5308995,1683,3.8294825553894043
1727130525.749494,1701,4.154845714569092
1727130525.9994204,1719,3.988349437713623
1727130526.1126976,1728,4.189572334289551
1727130526.913391,1791,5.111940383911133
1727130527.8406725,1863,5.988032817840576
1727130527.9523897,1872,5.148775577545166
1727130528.059857,1881,4.5138373374938965
1727130528.4991252,1917,3.6864185333251953
1727130529.814657,2007,4.386847496032715
1727130529.9205625,2016,4.911964416503906
1727130530.134894,2034,5.548718452453613
1727130530.5914056,2070,4.012192249298096
1727130530.952262,2097,3.82896089553833
1727130531.0607147,2106,3.444709062576294
1727130531.1688662,2115,4.1546783447265625
1727130531.5015132,2142,3.652113676071167
1727130532.934608,2250,3.6405062675476074
1727130533.596988,2304,3.3999826908111572
1727130533.8998978,2331,3.8241705894470215
1727130534.11967,2349,3.4677581787109375
1727130534.2166731,2358,3.2062971591949463
1727130534.4169223,2376,3.2353439331054688
1727130534.8750205,2412,3.505181074142456
1727130535.2767463,2448,5.033871650695801
1727130535.484077,2466,3.3575491905212402
1727130536.0386372,2511,3.479456663131714
1727130536.6576803,2565,6.445785999298096
1727130537.406156,2628,3.332988977432251
1727130537.5187736,2637,3.1067237854003906
1727130538.116571,2682,4.3557209968566895
1727130538.2168021,2691,4.014388084411621
1727130538.7071838,2727,3.1091277599334717
1727130538.8115604,2736,3.211322546005249
1727130539.2327383,2772,3.208332061767578
1727130539.3323123,2781,4.256494045257568
1727130539.5334103,2799,4.154359340667725
1727130539.865847,2826,4.900683403015137
1727130540.3594246,2871,2.94926381111145
1727130540.4575133,2880,3.4296164512634277
1727130540.5570266,2889,3.604705333709717
1727130541.0962112,2934,3.5411884784698486
1727130541.1883094,2943,3.342991352081299
1727130541.2893898,2952,4.486087799072266
1727130541.578947,2979,4.139256477355957
1727130542.488579,3060,3.600447654724121
1727130542.7141016,3078,3.1071293354034424
1727130543.1426024,3114,3.3192155361175537
1727130543.3545747,3132,3.136233329772949
1727130543.4561982,3141,3.8091084957122803
1727130544.020643,3186,3.4468815326690674
1727130544.1182063,3195,3.376938581466675
1727130544.78423,3249,3.3333864212036133
1727130545.0852473,3276,2.789180040359497
1727130545.6038687,3312,3.0933785438537598
1727130546.0701199,3348,2.8129875659942627
1727130546.2635696,3366,3.18951153755188
1727130546.6792688,3402,3.219057083129883
1727130546.779011,3411,2.97259521484375
1727130546.8752496,3420,4.861535549163818
1727130547.1277668,3438,2.841402292251587
1727130547.642378,3483,2.9849660396575928
1727130547.7498672,3492,3.0032565593719482
1727130548.1986892,3528,6.3390936851501465
1727130548.3059227,3537,8.046602249145508
1727130548.4068446,3546,12.216842651367188
1727130550.073289,3681,2.96044921875
1727130550.7986214,3744,4.528035640716553
1727130550.9371305,3753,4.28548002243042
1727130551.4562647,3798,5.027327060699463
1727130551.5653703,3807,4.189108848571777
1727130551.7640262,3825,3.286437511444092
1727130552.0272982,3843,3.3688812255859375
1727130552.4370232,3879,3.813286781311035
1727130553.515489,3960,3.60508131980896
1727130553.7156098,3978,3.7482657432556152
1727130553.8307474,3987,3.137855052947998
1727130554.214049,4014,3.7281179428100586
